楼房名称,价格（套/万元）,单价（元/m2）,地址,房间样式,房间规模（m2）,楼层规模
换房急售！红星国际广场，淮海路延安路,89.8,10205,红星国际广场 ,2室2厅 ,88, 高楼层
翰林花园一期精装三室 满五唯一,70,7644,翰林花园 ,3室2厅 ,91.58, 中楼层
大河新城中间楼层采光佳精装未入住,76.8,8166,大河新城 ,3室2厅 ,94.05, 高楼层
出门就是天津路 近公交车站台 交通方便 生活便利,72,7827,金色阳光城 ,3室2厅 ,92, 低楼层
化工二村 2室1厅 45万,45,7032,化工二村 ,2室1厅 ,64, 低楼层
英祥承德公馆 3室1厅 82万,82,7523,英祥承德公馆 ,3室1厅 ,109, 高楼层
爱琴海花园精致装修东边户双阳台采光好拎包入住,116,8951,爱琴海花园 ,3室2厅 ,129.6, 中楼层
全新精装 南北通风 前面无遮挡 采光不错 离长征近,110,11225,文华名邸 ,3室2厅 ,98, 低楼层
维多莉雅花苑 多层 精装修带自行车库,76,8736,维多莉雅花苑 ,2室2厅 ,87, 中楼层
中交香槟国际，大两房，高楼层，全天候采光，满两年,66,8919,中交香槟国际 ,2室2厅 ,74, 高楼层
金辉天鹅湾 房主诚意在售，位置好 采光佳,63,9000,金辉天鹅湾 ,2室1厅 ,70, 中楼层
中天华庭2室精装修 设施齐全 拎包入住,86.7,10699,中天华庭一期 ,2室2厅 ,81.02, 高楼层
"本房适合者三代同堂者居住,房内视野开阔,采光也好",185,14231,乐园小区 ,3室2厅 ,130, 高楼层
东城一品 3室2厅 86万,86,7611,东城一品 ,3室2厅 ,113, 中楼层
樱花小区 多层2楼 两室朝南 有车库,85,9240,樱花小区 ,2室2厅 ,92, 中楼层
华城小区 精装三室 装修三十万 设施齐 两房朝南采光好,260,26184,华城小区 ,3室2厅 ,99.3, 中楼层
帝景蓝湾 大润发商圈 楼层好 采光佳 交通便利 配套全,77,8882,帝景蓝湾(淮阴区) ,2室2厅 ,86.7, 低楼层
金辉天鹅湾 毛坯三房 楼层好 采光佳 交通便利,90,8207,金辉天鹅湾 ,3室2厅 ,109.67, 高楼层
天和豪庭精装修采光通透视野开阔,82.8,8987,天和豪庭 ,3室1厅 ,92.14, 低楼层
融侨华府 精装两房 婚房装修 满两年 大阳台,97,10000,融侨·华府 ,2室2厅 ,97, 低楼层
中南世纪城精装修，满两年，中间楼层，诚意出售！,130,11505,中南世纪城三期玺园 ,3室2厅 ,113, 高楼层
满两年 精装修空置 有钥匙随时看房 配套齐全 急售,86,9399,悦达广场 ,2室1厅 ,91.5, 低楼层
中熙凤凰城  单身公寓   精装修  设施齐全  拎包即住,34.8,8700,中熙凤凰城 ,1室1厅 ,40, 低楼层
"蓝惠首  府,老证，毛坯，地段好，户型好，位置好",77,8526,蓝惠首府 ,2室2厅 ,90.32, 高楼层
水沐清华多层小区环境优美接通便利,77,7858,水沐清华 ,3室2厅 ,98, 高楼层
丽都花苑 经典多层户型 毛坯三房 总价低 随时看房,65,6373,丽都花苑 ,3室2厅 ,102, 高楼层
易郡龙腾 老证 电梯三居室 纯空毛坯房 看房随时,95,7838,易郡龙腾 ,3室2厅 ,121.21, 低楼层
锦绣小区3楼两室精装设施齐全满2年 带车库,60,8000,锦绣小区 ,2室2厅 ,75, 中楼层
河畔花城 翔宇大道  毛坯房 位置交通便利,83,8830,河畔花城 ,3室2厅 ,94, 高楼层
瑞元经典 毛坯3房 房东诚售 看房方便,87,7500,瑞元经典 ,3室2厅 ,116, 低楼层
换房急售！红星国际广场，淮海路延安路,89.8,10205,红星国际广场 ,2室2厅 ,88, 高楼层
翰林花园一期精装三室 满五唯一,70,7644,翰林花园 ,3室2厅 ,91.58, 中楼层
大河新城中间楼层采光佳精装未入住,76.8,8166,大河新城 ,3室2厅 ,94.05, 高楼层
出门就是天津路 近公交车站台 交通方便 生活便利,72,7827,金色阳光城 ,3室2厅 ,92, 低楼层
化工二村 2室1厅 45万,45,7032,化工二村 ,2室1厅 ,64, 低楼层
英祥承德公馆 3室1厅 82万,82,7523,英祥承德公馆 ,3室1厅 ,109, 高楼层
爱琴海花园精致装修东边户双阳台采光好拎包入住,116,8951,爱琴海花园 ,3室2厅 ,129.6, 中楼层
全新精装 南北通风 前面无遮挡 采光不错 离长征近,110,11225,文华名邸 ,3室2厅 ,98, 低楼层
维多莉雅花苑 多层 精装修带自行车库,76,8736,维多莉雅花苑 ,2室2厅 ,87, 中楼层
中交香槟国际，大两房，高楼层，全天候采光，满两年,66,8919,中交香槟国际 ,2室2厅 ,74, 高楼层
金辉天鹅湾 房主诚意在售，位置好 采光佳,63,9000,金辉天鹅湾 ,2室1厅 ,70, 中楼层
中天华庭2室精装修 设施齐全 拎包入住,86.7,10699,中天华庭一期 ,2室2厅 ,81.02, 高楼层
"本房适合者三代同堂者居住,房内视野开阔,采光也好",185,14231,乐园小区 ,3室2厅 ,130, 高楼层
东城一品 3室2厅 86万,86,7611,东城一品 ,3室2厅 ,113, 中楼层
樱花小区 多层2楼 两室朝南 有车库,85,9240,樱花小区 ,2室2厅 ,92, 中楼层
华城小区 精装三室 装修三十万 设施齐 两房朝南采光好,260,26184,华城小区 ,3室2厅 ,99.3, 中楼层
帝景蓝湾 大润发商圈 楼层好 采光佳 交通便利 配套全,77,8882,帝景蓝湾(淮阴区) ,2室2厅 ,86.7, 低楼层
金辉天鹅湾 毛坯三房 楼层好 采光佳 交通便利,90,8207,金辉天鹅湾 ,3室2厅 ,109.67, 高楼层
天和豪庭精装修采光通透视野开阔,82.8,8987,天和豪庭 ,3室1厅 ,92.14, 低楼层
融侨华府 精装两房 婚房装修 满两年 大阳台,97,10000,融侨·华府 ,2室2厅 ,97, 低楼层
中南世纪城精装修，满两年，中间楼层，诚意出售！,130,11505,中南世纪城三期玺园 ,3室2厅 ,113, 高楼层
满两年 精装修空置 有钥匙随时看房 配套齐全 急售,86,9399,悦达广场 ,2室1厅 ,91.5, 低楼层
中熙凤凰城  单身公寓   精装修  设施齐全  拎包即住,34.8,8700,中熙凤凰城 ,1室1厅 ,40, 低楼层
"蓝惠首  府,老证，毛坯，地段好，户型好，位置好",77,8526,蓝惠首府 ,2室2厅 ,90.32, 高楼层
水沐清华多层小区环境优美接通便利,77,7858,水沐清华 ,3室2厅 ,98, 高楼层
丽都花苑 经典多层户型 毛坯三房 总价低 随时看房,65,6373,丽都花苑 ,3室2厅 ,102, 高楼层
易郡龙腾 老证 电梯三居室 纯空毛坯房 看房随时,95,7838,易郡龙腾 ,3室2厅 ,121.21, 低楼层
锦绣小区3楼两室精装设施齐全满2年 带车库,60,8000,锦绣小区 ,2室2厅 ,75, 中楼层
河畔花城 翔宇大道  毛坯房 位置交通便利,83,8830,河畔花城 ,3室2厅 ,94, 高楼层
瑞元经典 毛坯3房 房东诚售 看房方便,87,7500,瑞元经典 ,3室2厅 ,116, 低楼层
中南世纪城，户型方正，楼层好，采光好,81,9311,中南世纪城 ,3室2厅 ,87, 高楼层
中南玺园，采光无遮挡，视野开阔,122,9919,中南世纪城三期玺园 ,3室2厅 ,123, 中楼层
区政府，盐河畔天鹅湾，1楼毛坯3房，位置好采光无遮挡,74,8132,金辉天鹅湾 ,3室2厅 ,91, 低楼层
皇冠国际，毛坯大四房，采光无遮挡,92.8,7243,皇冠国际 ,4室2厅 ,128.14, 高楼层
恒大名都二期精装修三房两卫采光好低楼层,95,7263,淮安恒大名都 ,3室2厅 ,130.8, 低楼层
75平方只要40万  黄元小区二室朝南,40,5334,黄元小区 ,2室1厅 ,75, 高楼层
中央华府 3室2厅 90万,90,8182,中央华府 ,3室2厅 ,110, 低楼层
房东诚心出售，，，，，，，，，，,82,7261,天龙御城 ,3室2厅 ,112.94, 中楼层
利群超市楼上 金樽国际复式公寓买一层得二层,72,9730,金樽国际公寓 ,3室2厅 ,74, 低楼层
益兴名人湾 六楼两层 超大空间 毛坯任性,128,8000,德汇公馆 ,5室2厅 ,160, 高楼层
学林雅苑 多层 中间楼层 满两年 看房方便,82,8724,学林雅苑 ,3室2厅 ,94, 中楼层
新城市商圈 御景城三房 精装修 近淮中,95,9500,御景城 ,3室2厅 ,100, 高楼层
中天翡丽湾 3室1厅 98万,98,9694,中天翡丽湾 ,3室1厅 ,101.1, 低楼层
世纪佳苑 纯毛坯房  随意装修  视野开阔,81.8,7176,世纪佳苑 ,3室2厅 ,114, 中楼层
金润城 户型方正  楼层高 采光需要带墨镜  房东急售,92,8898,金润城 ,3室2厅 ,103.4, 高楼层
建设小区 103平方 4楼 95万,82,7962,建设小区 ,3室2厅 ,103, 中楼层
淮海西路 120平 中间楼层 全新精装修 拎包即可入住,139,11584,巨一首府 ,3室2厅 ,120, 高楼层
四季金辉 精装三房 户型好 房主诚心卖,84,9546,四季金辉 ,3室2厅 ,88, 高楼层
全新精装三房，户型方正，三开间朝南，拎包即住带车库,88.8,9155,翰林花园 ,3室2厅 ,97, 高楼层
郁金蓝湾精装大两房  家具家电全留，拎包即住,75,9260,郁金蓝湾 ,2室2厅 ,81, 高楼层
此房满两年、楼层好、紧凑型、设施齐全、拎包即住,75,8861,淮安恒大名都 ,2室2厅 ,84.65, 高楼层
红星国际广场 高层 采光好 阳光好 视野开阔 居高临下,93,9394,红星国际广场 ,3室2厅 ,99, 高楼层
